trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",25,6,-42.85785028986237,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,0,34.45723560924446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,13,14.759135984803699,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,2,16.6886791667939,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,5,23.008818466694024,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,2,-19.15744844110395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,-3.3246361905883752,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,0,8.58597916680682,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",25,0,-32.415767468350694,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,20,9.411499279633926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,14,8.808533232582683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,16,5.134186123811951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,3,16.775703766269107,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",30,0,-9.930669598279847,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",25,9,8.363198276225857,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,0,-1.150520439640646,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",30,13,16.06322655543201,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
