trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-87.15767522796031,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-83.9369635874869,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,11,-81.66912974989148,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-55.137314468114766,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,6,-37.249279454797794,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,15,-35.93276652617437,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-86.07508506257443,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,9,-6.0827289191709895,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,0,-44.78008834454123,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",25,17,-18.90913154277472,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,10,-51.32970651544839,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,20,7.559274426468219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-43.105806778778316,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,12,-24.376511465053,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,9,-62.35848724595308,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,-32.48118478356259,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,6,-136.60247859971085,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 2}",1
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,4,-86.5048466146406,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",25,10,-74.59790325501406,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,8,-29.429344587044255,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,12,8.029460339485333,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,15,17.07140445027268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,8,28.426640520005787,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,13,3.8210380655047658,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,7,-46.943486268066685,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-67.96252642639178,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-55.057934048600195,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
